poi,next_attraction,popularity
76,42,0.00024338870836193867
76,50,9.372923743736275e-05
76,301,0.1
76,302,0.1
76,303,0.1
49,59,0.014830423834392422
49,71,0.014963795929631162
49,202,0.005273422014508671
49,62,0.0052697343068062175
49,52,0.002994111345417132
49,75,0.000744609646920426
49,63,0.002907450214409472
49,201,0.0002756561507584078
49,61,0.040943389384441684
49,54,0.0060564452833296555
49,76,0.004328754224730137
49,49,0.000393970106212128
49,58,0.0027356644972701743
49,42,0.0030377492198961666
49,50,0.0003429568163281863
49,301,0.1
49,302,0.1
49,303,0.1
58,59,0.0078683390011352
58,71,0.00194096348739142
58,202,0.0008549335690188301
58,62,0.0008770598152335518
58,52,0.0015783388966501479
58,75,0.00025537375839491293
58,63,0.0006766943634002386
58,201,0.0001604152850567323
58,61,0.004232566515491138
58,54,0.006042616379445455
58,76,0.0001395182747428285
58,49,0.001988289069572908
58,58,7.621262585070807e-05
58,42,0.0014375913860065015
58,50,5.7159469388031054e-05
58,301,0.1
58,302,0.1
58,303,0.1
42,59,0.0026247259572213613
42,71,0.003572466836751941
42,202,0.0016680731174098524
42,62,0.0013475498562715922
42,52,0.005770033318439092
42,75,0.0011717691224546365
42,63,0.0012055731097271281
42,201,0.0002796511674360659
42,61,0.0029910382556650873
42,54,0.002888397057946795
42,76,0.00014965947092457593
42,49,0.003576769162404803
42,58,0.0007031229352678229
42,42,7.805647970193489e-05
42,50,0.1
42,301,0.1
42,302,0.1
42,303,0.1
50,59,7.252491814825446e-05
50,71,0.1
50,202,4.4867110379852335e-05
50,62,3.103820649565127e-05
50,52,8.573920408204658e-05
50,75,1.7209302611450208e-05
50,63,0.00010970930414799508
50,201,4.916943603271489e-06
50,61,0.0001883804018003389
50,54,5.992525016487127e-05
50,76,1.2599667983383189e-05
50,49,0.0002510714327420504
50,58,3.5955150098922756e-05
50,42,0.1
50,50,1.8438538512268081e-06
50,301,0.1
50,302,0.1
50,303,0.1
301,59,0.1
301,71,0.1
301,202,0.1
301,62,0.1
301,52,0.1
301,75,0.1
301,63,0.1
301,201,0.1
301,61,0.1
301,54,0.1
301,76,0.1
301,49,0.1
301,58,0.1
301,42,0.1
301,50,0.1
301,301,0.1
301,302,0.1
301,303,0.1
302,59,0.1
302,71,0.1
302,202,0.1
302,62,0.1
302,52,0.1
302,75,0.1
302,63,0.1
302,201,0.1
302,61,0.1
302,54,0.1
302,76,0.1
302,49,0.1
302,58,0.1
302,42,0.1
302,50,0.1
302,301,0.1
302,302,0.1
302,303,0.1
303,59,0.1
303,71,0.1
303,202,0.1
303,62,0.1
303,52,0.1
303,75,0.1
303,63,0.1
303,201,0.1
303,61,0.1
303,54,0.1
303,76,0.1
303,49,0.1
303,58,0.1
303,42,0.1
303,50,0.1
303,301,0.1
303,302,0.1
303,303,0.1
